observationID,mediaID,observationType,cameraSetupType,taxonID,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
36c14ad3-6db5-41e2-921b-adbfdf0e784b_1,36c14ad3-6db5-41e2-921b-adbfdf0e784b,animal,,V2,Aves,1,,,,,,,human,Peter Desmet,,,,
e61ffa75-87bc-4fe1-b74a-2505e86bbe8f_1,e61ffa75-87bc-4fe1-b74a-2505e86bbe8f,animal,,V2,Aves,1,,,,,,,human,Peter Desmet,,,,
76490dff-ea98-4a31-9512-67c2700a1af4_1,76490dff-ea98-4a31-9512-67c2700a1af4,animal,,V2,Aves,1,,,,,,,human,Peter Desmet,,,,
f28ece39-6196-4854-8720-77961f009cb1_1,f28ece39-6196-4854-8720-77961f009cb1,animal,,V2,Aves,1,,,,,,,human,Peter Desmet,,,,
832a486a-2ef3-4ed1-9e53-d95aba3a2a6b_1,832a486a-2ef3-4ed1-9e53-d95aba3a2a6b,animal,,V2,Aves,1,,,,,,,human,Peter Desmet,,,,
aaf4fd97-a6c6-465c-80cd-f3b2e99840ea_1,aaf4fd97-a6c6-465c-80cd-f3b2e99840ea,animal,,V2,Aves,1,,,,,,,human,Peter Desmet,,,,
b42ddc97-9c08-4518-b6ac-34b0e63a0e50_1,b42ddc97-9c08-4518-b6ac-34b0e63a0e50,blank,,,,,,,,,,,human,Peter Desmet,,,,
72a7147a-2742-4a2f-b33c-1344f16767d2_1,72a7147a-2742-4a2f-b33c-1344f16767d2,blank,,,,,,,,,,,human,Peter Desmet,,,,
44201e9e-7cfe-43d8-9c3e-551a0f40145d_1,44201e9e-7cfe-43d8-9c3e-551a0f40145d,unknown,,,,1,,,,,,,human,Peter Desmet,,,,
4c8086c7-9b32-4ef1-b60f-8cb2d231f79f_1,4c8086c7-9b32-4ef1-b60f-8cb2d231f79f,blank,,,,1,,,,,,,human,Peter Desmet,,,,
aea55534-89fd-4c55-ab8e-21e000f344cb_1,aea55534-89fd-4c55-ab8e-21e000f344cb,blank,,,,1,,,,,,,human,Peter Desmet,,,,
7329cccb-3f1c-458e-9e97-3c10dbfa6598_1,7329cccb-3f1c-458e-9e97-3c10dbfa6598,blank,,,,1,,,,,,,human,Peter Desmet,,,,
46fb91af-5825-4a72-ae1d-a152e00aef43_1,46fb91af-5825-4a72-ae1d-a152e00aef43,blank,,,,1,,,,,,,human,Peter Desmet,,,,
