observationUnitID,mediaID
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,3e65dfaa-b239-4834-b809-2bc1b06e26cc
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,dbfba6c1-ec77-4048-9b3b-aac3ace43c24
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,006d72c5-dcbc-4e7f-ac29-e6ca1644693f
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,d7fde0a6-8b6f-41a5-be4a-ef3950aef757
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,0b2b5fb0-6220-4679-9b10-2b98d4ab866e
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,402bd5dd-da18-4403-a729-010197ed1214
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,6f506725-fa9b-4cbf-9c81-d9aa77d7c592
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,1f76ae45-2422-4fae-a479-a2f1163d5230
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,6fb5e4ca-ccb1-4358-8e24-7135a9aa2417
8f5ffbf2-52c4-4dd2-b502-d93a8aa64640,2fd956b5-f215-49a7-ae79-eb902216c044
1d98da96-c3ce-4479-9b97-8883cd33724f,0ca1bfc7-f5f4-4bd4-91b6-6e0b02399cbf
1d98da96-c3ce-4479-9b97-8883cd33724f,fa6d8b73-c37a-42e9-8346-c0e26e1a5195
1d98da96-c3ce-4479-9b97-8883cd33724f,3798e2c5-9191-4980-97e0-dea9e271e97f
1d98da96-c3ce-4479-9b97-8883cd33724f,be890542-6845-4c24-aefb-d29ac08e1ebb
1d98da96-c3ce-4479-9b97-8883cd33724f,57214693-88a3-4449-b4e9-913656b74ea7
1d98da96-c3ce-4479-9b97-8883cd33724f,d32e790c-a3c8-444a-b733-94505e3150ee
1d98da96-c3ce-4479-9b97-8883cd33724f,1df7ff8a-bde1-4c9a-884e-687b347132c3
1d98da96-c3ce-4479-9b97-8883cd33724f,ccab7c7d-fbd6-451d-ae07-9ad0f46cc26b
1d98da96-c3ce-4479-9b97-8883cd33724f,fb19a8b7-1c7a-43dc-9173-1c1481bc7903
1d98da96-c3ce-4479-9b97-8883cd33724f,3b11a509-ca8e-4b93-b295-85a52daddf74
89b807ca-697f-4452-8349-b235622c94fa,8263e85b-786a-4f62-9817-d54fb1dafb5d
